id_log,id_user,action_type,table_name,action_date,description
70,169,LOGOUT,Medical_records,2023-03-14,User 169 performed LOGOUT on Medical_records.
71,415,LOGOUT,Medical_records,2025-08-11,User 415 performed LOGOUT on Medical_records.
72,118,INSERT,Medical_records,2023-10-27,User 118 performed INSERT on Medical_records.
73,457,INSERT,Medical_staff,2026-01-20,User 457 performed INSERT on Medical_staff.
74,818,SELECT,Medical_staff,2022-02-04,User 818 performed SELECT on Medical_staff.
75,929,INSERT,Users,2023-03-27,User 929 performed INSERT on Users.
76,477,INSERT,Consultations,2023-11-28,User 477 performed INSERT on Consultations.
77,827,DELETE,Appointments,2023-10-26,User 827 performed DELETE on Appointments.
78,850,UPDATE,AI_Diagnosis,2023-11-27,User 850 performed UPDATE on AI_Diagnosis.
79,396,LOGOUT,Consultations,2026-05-10,User 396 performed LOGOUT on Consultations.
80,1043,DELETE,Appointments,2023-05-02,User 1043 performed DELETE on Appointments.
81,776,DELETE,Medical_records,2022-08-15,User 776 performed DELETE on Medical_records.
82,706,UPDATE,Notifications,2023-06-03,User 706 performed UPDATE on Notifications.
83,746,LOGIN,AI_Diagnosis,2026-03-20,User 746 performed LOGIN on AI_Diagnosis.
84,130,SELECT,Notifications,2023-02-02,User 130 performed SELECT on Notifications.
85,429,LOGOUT,Patients,2023-03-01,User 429 performed LOGOUT on Patients.
86,272,UPDATE,Consultations,2024-06-07,User 272 performed UPDATE on Consultations.
87,1131,LOGOUT,Patients,2024-08-13,User 1131 performed LOGOUT on Patients.
88,7,INSERT,Medical_records,2022-06-21,User 7 performed INSERT on Medical_records.
89,685,DELETE,AI_Diagnosis,2023-06-23,User 685 performed DELETE on AI_Diagnosis.
90,180,UPDATE,Users,2022-07-25,User 180 performed UPDATE on Users.
91,366,INSERT,Appointments,2025-11-19,User 366 performed INSERT on Appointments.
92,400,DELETE,Patients,2025-08-27,User 400 performed DELETE on Patients.
93,160,SELECT,Consultations,2025-04-29,User 160 performed SELECT on Consultations.
94,623,DELETE,Users,2025-07-13,User 623 performed DELETE on Users.
95,749,SELECT,Notifications,2026-02-18,User 749 performed SELECT on Notifications.
96,796,LOGIN,Notifications,2022-11-05,User 796 performed LOGIN on Notifications.
97,705,UPDATE,Notifications,2024-07-13,User 705 performed UPDATE on Notifications.
98,212,INSERT,AI_Diagnosis,2022-09-09,User 212 performed INSERT on AI_Diagnosis.
99,280,INSERT,Appointments,2023-09-17,User 280 performed INSERT on Appointments.
100,752,LOGOUT,AI_Diagnosis,2025-11-18,User 752 performed LOGOUT on AI_Diagnosis.
101,550,INSERT,AI_Diagnosis,2023-11-29,User 550 performed INSERT on AI_Diagnosis.
102,780,DELETE,Medical_records,2023-03-03,User 780 performed DELETE on Medical_records.
103,12,INSERT,Medical_records,2023-01-14,User 12 performed INSERT on Medical_records.
104,600,UPDATE,Medical_records,2023-04-19,User 600 performed UPDATE on Medical_records.
105,922,INSERT,Notifications,2024-02-28,User 922 performed INSERT on Notifications.
106,638,UPDATE,Appointments,2025-09-17,User 638 performed UPDATE on Appointments.
107,395,LOGOUT,Users,2022-06-23,User 395 performed LOGOUT on Users.
108,925,LOGOUT,Medical_records,2022-05-15,User 925 performed LOGOUT on Medical_records.
109,136,INSERT,Users,2022-10-01,User 136 performed INSERT on Users.
110,332,SELECT,Patients,2025-06-14,User 332 performed SELECT on Patients.
111,1185,UPDATE,Patients,2024-05-13,User 1185 performed UPDATE on Patients.
112,965,SELECT,Medical_staff,2022-09-15,User 965 performed SELECT on Medical_staff.
113,98,LOGOUT,Consultations,2026-01-30,User 98 performed LOGOUT on Consultations.
114,192,SELECT,Appointments,2022-06-03,User 192 performed SELECT on Appointments.
115,83,INSERT,Patients,2025-06-08,User 83 performed INSERT on Patients.
116,235,INSERT,Medical_staff,2024-03-14,User 235 performed INSERT on Medical_staff.
117,74,INSERT,Users,2023-01-16,User 74 performed INSERT on Users.
118,96,DELETE,Users,2024-03-03,User 96 performed DELETE on Users.
119,856,LOGIN,Notifications,2025-12-25,User 856 performed LOGIN on Notifications.
120,710,INSERT,Patients,2023-02-15,User 710 performed INSERT on Patients.
121,1123,LOGIN,Users,2023-03-08,User 1123 performed LOGIN on Users.
122,968,LOGOUT,Medical_records,2022-10-05,User 968 performed LOGOUT on Medical_records.
123,941,LOGOUT,Appointments,2025-03-20,User 941 performed LOGOUT on Appointments.
124,375,LOGOUT,Patients,2022-12-08,User 375 performed LOGOUT on Patients.
125,698,UPDATE,Medical_records,2023-09-22,User 698 performed UPDATE on Medical_records.
126,549,LOGIN,Patients,2024-10-04,User 549 performed LOGIN on Patients.
127,839,LOGIN,Notifications,2024-01-01,User 839 performed LOGIN on Notifications.
128,948,SELECT,Notifications,2023-10-07,User 948 performed SELECT on Notifications.
129,639,UPDATE,Users,2025-05-05,User 639 performed UPDATE on Users.
130,337,LOGIN,Consultations,2023-06-09,User 337 performed LOGIN on Consultations.
131,868,UPDATE,Consultations,2022-12-07,User 868 performed UPDATE on Consultations.
132,606,DELETE,Appointments,2023-06-15,User 606 performed DELETE on Appointments.
133,929,DELETE,Consultations,2022-06-06,User 929 performed DELETE on Consultations.
134,832,INSERT,Medical_staff,2025-10-22,User 832 performed INSERT on Medical_staff.
135,954,LOGIN,Consultations,2025-02-16,User 954 performed LOGIN on Consultations.
136,324,UPDATE,Medical_records,2023-03-14,User 324 performed UPDATE on Medical_records.
137,546,LOGOUT,Medical_staff,2025-07-23,User 546 performed LOGOUT on Medical_staff.
138,1174,DELETE,Medical_staff,2024-07-18,User 1174 performed DELETE on Medical_staff.
139,619,LOGIN,Medical_staff,2024-12-11,User 619 performed LOGIN on Medical_staff.
140,728,LOGOUT,Notifications,2025-06-22,User 728 performed LOGOUT on Notifications.
141,636,DELETE,Users,2022-06-14,User 636 performed DELETE on Users.
142,538,UPDATE,Consultations,2025-07-12,User 538 performed UPDATE on Consultations.
143,754,SELECT,Medical_records,2025-06-25,User 754 performed SELECT on Medical_records.
144,191,DELETE,Medical_records,2024-02-17,User 191 performed DELETE on Medical_records.
145,114,SELECT,Consultations,2023-03-26,User 114 performed SELECT on Consultations.
146,416,LOGIN,Consultations,2023-07-07,User 416 performed LOGIN on Consultations.
147,480,LOGIN,Medical_records,2024-06-21,User 480 performed LOGIN on Medical_records.
148,826,DELETE,Notifications,2022-08-25,User 826 performed DELETE on Notifications.
149,271,UPDATE,Users,2023-10-23,User 271 performed UPDATE on Users.
150,541,DELETE,Medical_records,2023-11-18,User 541 performed DELETE on Medical_records.
151,1170,INSERT,Appointments,2024-06-23,User 1170 performed INSERT on Appointments.
152,354,INSERT,Notifications,2024-08-17,User 354 performed INSERT on Notifications.
153,904,LOGOUT,Appointments,2022-05-04,User 904 performed LOGOUT on Appointments.
154,944,LOGIN,Patients,2023-05-09,User 944 performed LOGIN on Patients.
155,438,DELETE,Notifications,2025-02-19,User 438 performed DELETE on Notifications.
156,810,UPDATE,Patients,2026-01-03,User 810 performed UPDATE on Patients.
157,981,DELETE,Appointments,2025-02-27,User 981 performed DELETE on Appointments.
158,238,LOGIN,Consultations,2026-04-08,User 238 performed LOGIN on Consultations.
159,1193,UPDATE,Medical_records,2024-11-24,User 1193 performed UPDATE on Medical_records.
160,1156,INSERT,Appointments,2026-01-21,User 1156 performed INSERT on Appointments.
161,657,INSERT,AI_Diagnosis,2023-04-29,User 657 performed INSERT on AI_Diagnosis.
162,1025,DELETE,Users,2023-11-27,User 1025 performed DELETE on Users.
163,23,DELETE,Patients,2024-03-12,User 23 performed DELETE on Patients.
164,1044,INSERT,Users,2022-07-12,User 1044 performed INSERT on Users.
165,178,DELETE,Notifications,2022-09-30,User 178 performed DELETE on Notifications.
166,944,LOGIN,Users,2024-03-20,User 944 performed LOGIN on Users.
167,834,UPDATE,Consultations,2024-08-19,User 834 performed UPDATE on Consultations.
168,805,UPDATE,AI_Diagnosis,2026-01-05,User 805 performed UPDATE on AI_Diagnosis.
169,363,DELETE,Appointments,2024-11-01,User 363 performed DELETE on Appointments.
170,253,DELETE,Medical_staff,2024-01-13,User 253 performed DELETE on Medical_staff.
171,839,DELETE,Consultations,2025-12-23,User 839 performed DELETE on Consultations.
172,550,LOGIN,AI_Diagnosis,2023-12-04,User 550 performed LOGIN on AI_Diagnosis.
173,417,LOGOUT,Patients,2022-05-23,User 417 performed LOGOUT on Patients.
174,607,DELETE,Notifications,2026-03-16,User 607 performed DELETE on Notifications.
175,436,UPDATE,Medical_staff,2023-10-21,User 436 performed UPDATE on Medical_staff.
176,665,DELETE,Users,2022-01-07,User 665 performed DELETE on Users.
177,183,UPDATE,Medical_records,2022-10-14,User 183 performed UPDATE on Medical_records.
178,151,LOGIN,Medical_staff,2025-02-20,User 151 performed LOGIN on Medical_staff.
179,206,UPDATE,Consultations,2022-09-20,User 206 performed UPDATE on Consultations.
180,110,DELETE,Appointments,2022-04-25,User 110 performed DELETE on Appointments.
181,1134,LOGIN,Appointments,2022-02-18,User 1134 performed LOGIN on Appointments.
182,1159,LOGOUT,Medical_records,2025-08-31,User 1159 performed LOGOUT on Medical_records.
183,380,UPDATE,Patients,2022-12-04,User 380 performed UPDATE on Patients.
184,633,INSERT,AI_Diagnosis,2024-05-23,User 633 performed INSERT on AI_Diagnosis.
185,835,LOGIN,AI_Diagnosis,2022-04-04,User 835 performed LOGIN on AI_Diagnosis.
186,828,LOGIN,Appointments,2025-11-27,User 828 performed LOGIN on Appointments.
187,1122,UPDATE,Medical_records,2024-02-14,User 1122 performed UPDATE on Medical_records.
188,838,SELECT,Medical_staff,2022-05-04,User 838 performed SELECT on Medical_staff.
189,38,LOGOUT,Patients,2025-05-10,User 38 performed LOGOUT on Patients.
190,985,SELECT,Appointments,2023-11-03,User 985 performed SELECT on Appointments.
191,602,LOGIN,Notifications,2023-01-15,User 602 performed LOGIN on Notifications.
192,749,LOGOUT,Users,2025-04-25,User 749 performed LOGOUT on Users.
193,38,LOGOUT,Consultations,2022-10-17,User 38 performed LOGOUT on Consultations.
194,186,UPDATE,Users,2023-11-12,User 186 performed UPDATE on Users.
195,387,INSERT,Consultations,2022-11-28,User 387 performed INSERT on Consultations.
196,693,UPDATE,Medical_staff,2025-11-03,User 693 performed UPDATE on Medical_staff.
197,407,SELECT,Medical_staff,2024-03-07,User 407 performed SELECT on Medical_staff.
198,880,LOGIN,Appointments,2024-08-10,User 880 performed LOGIN on Appointments.
199,127,SELECT,AI_Diagnosis,2025-07-23,User 127 performed SELECT on AI_Diagnosis.
200,673,SELECT,Medical_staff,2023-08-18,User 673 performed SELECT on Medical_staff.
201,47,UPDATE,Consultations,2023-07-03,User 47 performed UPDATE on Consultations.
202,1055,UPDATE,Medical_records,2022-09-02,User 1055 performed UPDATE on Medical_records.
203,152,LOGIN,Medical_staff,2023-11-08,User 152 performed LOGIN on Medical_staff.
204,1012,UPDATE,Patients,2023-12-12,User 1012 performed UPDATE on Patients.
205,768,DELETE,Appointments,2022-11-30,User 768 performed DELETE on Appointments.
206,207,SELECT,Users,2023-12-22,User 207 performed SELECT on Users.
207,650,INSERT,Medical_records,2024-03-04,User 650 performed INSERT on Medical_records.
208,584,DELETE,Patients,2023-12-24,User 584 performed DELETE on Patients.
209,1071,UPDATE,Notifications,2022-04-21,User 1071 performed UPDATE on Notifications.
210,948,UPDATE,Medical_records,2025-02-21,User 948 performed UPDATE on Medical_records.
211,1030,DELETE,Appointments,2025-04-02,User 1030 performed DELETE on Appointments.
212,307,LOGOUT,Notifications,2024-03-05,User 307 performed LOGOUT on Notifications.
213,1036,LOGIN,Patients,2022-07-20,User 1036 performed LOGIN on Patients.
214,64,SELECT,Users,2026-04-24,User 64 performed SELECT on Users.
215,369,LOGIN,Users,2023-08-07,User 369 performed LOGIN on Users.
216,639,LOGOUT,Appointments,2022-03-07,User 639 performed LOGOUT on Appointments.
217,644,UPDATE,Appointments,2026-03-10,User 644 performed UPDATE on Appointments.
218,871,INSERT,Medical_staff,2026-04-17,User 871 performed INSERT on Medical_staff.
219,196,SELECT,Appointments,2025-08-29,User 196 performed SELECT on Appointments.
220,912,INSERT,AI_Diagnosis,2025-07-30,User 912 performed INSERT on AI_Diagnosis.
221,332,SELECT,Medical_staff,2025-12-15,User 332 performed SELECT on Medical_staff.
222,286,INSERT,Patients,2025-09-11,User 286 performed INSERT on Patients.
223,716,INSERT,Medical_records,2025-08-23,User 716 performed INSERT on Medical_records.
224,602,INSERT,AI_Diagnosis,2025-03-13,User 602 performed INSERT on AI_Diagnosis.
225,465,LOGIN,AI_Diagnosis,2024-08-28,User 465 performed LOGIN on AI_Diagnosis.
226,1149,LOGIN,Consultations,2022-04-07,User 1149 performed LOGIN on Consultations.
227,538,LOGIN,Users,2025-04-14,User 538 performed LOGIN on Users.
228,206,DELETE,Patients,2026-02-26,User 206 performed DELETE on Patients.
229,735,DELETE,Medical_records,2023-08-30,User 735 performed DELETE on Medical_records.
230,1139,SELECT,Medical_staff,2025-07-20,User 1139 performed SELECT on Medical_staff.
231,91,DELETE,Consultations,2026-04-22,User 91 performed DELETE on Consultations.
232,630,SELECT,Consultations,2023-06-18,User 630 performed SELECT on Consultations.
233,13,LOGOUT,AI_Diagnosis,2024-09-26,User 13 performed LOGOUT on AI_Diagnosis.
234,1181,DELETE,Consultations,2023-10-25,User 1181 performed DELETE on Consultations.
235,821,LOGIN,Medical_records,2022-10-02,User 821 performed LOGIN on Medical_records.
236,235,LOGOUT,Appointments,2024-07-23,User 235 performed LOGOUT on Appointments.
237,1193,INSERT,Consultations,2024-03-26,User 1193 performed INSERT on Consultations.
238,1136,LOGIN,Medical_staff,2025-10-12,User 1136 performed LOGIN on Medical_staff.
239,29,DELETE,AI_Diagnosis,2024-04-06,User 29 performed DELETE on AI_Diagnosis.
240,483,UPDATE,Patients,2025-06-30,User 483 performed UPDATE on Patients.
241,1192,DELETE,AI_Diagnosis,2026-05-06,User 1192 performed DELETE on AI_Diagnosis.
242,205,DELETE,Consultations,2023-10-06,User 205 performed DELETE on Consultations.
243,1181,UPDATE,Medical_staff,2022-10-11,User 1181 performed UPDATE on Medical_staff.
244,957,SELECT,AI_Diagnosis,2024-07-24,User 957 performed SELECT on AI_Diagnosis.
245,570,INSERT,Notifications,2023-11-20,User 570 performed INSERT on Notifications.
246,496,SELECT,Medical_staff,2024-04-15,User 496 performed SELECT on Medical_staff.
247,769,SELECT,Users,2024-05-08,User 769 performed SELECT on Users.
248,422,LOGOUT,AI_Diagnosis,2022-07-27,User 422 performed LOGOUT on AI_Diagnosis.
249,774,DELETE,Appointments,2024-03-24,User 774 performed DELETE on Appointments.
250,140,LOGOUT,Consultations,2022-07-13,User 140 performed LOGOUT on Consultations.
251,830,LOGIN,Users,2025-04-18,User 830 performed LOGIN on Users.
252,761,UPDATE,Medical_staff,2022-05-26,User 761 performed UPDATE on Medical_staff.
253,1013,INSERT,Notifications,2024-12-05,User 1013 performed INSERT on Notifications.
254,1012,DELETE,AI_Diagnosis,2025-01-26,User 1012 performed DELETE on AI_Diagnosis.
255,336,DELETE,Notifications,2025-07-30,User 336 performed DELETE on Notifications.
256,508,DELETE,Appointments,2022-12-21,User 508 performed DELETE on Appointments.
257,665,INSERT,Patients,2022-09-09,User 665 performed INSERT on Patients.
258,168,INSERT,Medical_records,2025-09-09,User 168 performed INSERT on Medical_records.
259,1141,LOGIN,Appointments,2025-11-21,User 1141 performed LOGIN on Appointments.
260,241,DELETE,Consultations,2023-07-07,User 241 performed DELETE on Consultations.
261,157,INSERT,Consultations,2022-07-03,User 157 performed INSERT on Consultations.
262,265,INSERT,Consultations,2025-08-17,User 265 performed INSERT on Consultations.
263,929,DELETE,AI_Diagnosis,2023-06-13,User 929 performed DELETE on AI_Diagnosis.
264,1148,INSERT,Users,2025-11-07,User 1148 performed INSERT on Users.
265,973,LOGIN,Notifications,2022-07-17,User 973 performed LOGIN on Notifications.
266,562,UPDATE,Appointments,2024-10-22,User 562 performed UPDATE on Appointments.
267,116,UPDATE,Consultations,2022-12-20,User 116 performed UPDATE on Consultations.
268,528,DELETE,Medical_records,2023-06-22,User 528 performed DELETE on Medical_records.
269,979,LOGOUT,Patients,2024-11-08,User 979 performed LOGOUT on Patients.
270,52,LOGOUT,AI_Diagnosis,2022-03-30,User 52 performed LOGOUT on AI_Diagnosis.
271,1198,UPDATE,AI_Diagnosis,2024-11-25,User 1198 performed UPDATE on AI_Diagnosis.
272,744,SELECT,Medical_staff,2026-02-08,User 744 performed SELECT on Medical_staff.
273,396,SELECT,Medical_staff,2022-12-02,User 396 performed SELECT on Medical_staff.
274,676,DELETE,Medical_records,2025-10-18,User 676 performed DELETE on Medical_records.
275,635,LOGOUT,AI_Diagnosis,2022-05-05,User 635 performed LOGOUT on AI_Diagnosis.
276,353,SELECT,Consultations,2025-07-12,User 353 performed SELECT on Consultations.
277,653,LOGOUT,Medical_staff,2024-03-27,User 653 performed LOGOUT on Medical_staff.
278,831,SELECT,Medical_records,2022-01-04,User 831 performed SELECT on Medical_records.
279,991,LOGOUT,Medical_records,2025-03-16,User 991 performed LOGOUT on Medical_records.
280,941,UPDATE,Medical_records,2026-03-24,User 941 performed UPDATE on Medical_records.
281,483,LOGOUT,Consultations,2026-01-14,User 483 performed LOGOUT on Consultations.
282,1072,LOGOUT,AI_Diagnosis,2022-02-22,User 1072 performed LOGOUT on AI_Diagnosis.
283,1042,SELECT,Appointments,2023-03-03,User 1042 performed SELECT on Appointments.
284,620,LOGOUT,Medical_staff,2023-12-19,User 620 performed LOGOUT on Medical_staff.
285,473,LOGIN,AI_Diagnosis,2024-01-08,User 473 performed LOGIN on AI_Diagnosis.
286,96,LOGIN,Medical_records,2025-03-12,User 96 performed LOGIN on Medical_records.
287,42,LOGOUT,Appointments,2024-11-17,User 42 performed LOGOUT on Appointments.
288,660,SELECT,Patients,2022-10-11,User 660 performed SELECT on Patients.
289,1141,DELETE,Medical_staff,2022-01-04,User 1141 performed DELETE on Medical_staff.
290,315,SELECT,Appointments,2024-05-09,User 315 performed SELECT on Appointments.
291,271,LOGOUT,Notifications,2025-02-04,User 271 performed LOGOUT on Notifications.
292,566,LOGIN,Medical_staff,2022-08-11,User 566 performed LOGIN on Medical_staff.
293,601,SELECT,Patients,2023-06-25,User 601 performed SELECT on Patients.
294,587,SELECT,Users,2022-06-17,User 587 performed SELECT on Users.
295,710,UPDATE,AI_Diagnosis,2025-07-20,User 710 performed UPDATE on AI_Diagnosis.
296,342,SELECT,Patients,2026-04-05,User 342 performed SELECT on Patients.
297,884,INSERT,Medical_records,2023-05-26,User 884 performed INSERT on Medical_records.
298,1060,UPDATE,Patients,2025-10-30,User 1060 performed UPDATE on Patients.
299,34,INSERT,Medical_records,2025-05-01,User 34 performed INSERT on Medical_records.
300,968,LOGIN,Patients,2024-05-12,User 968 performed LOGIN on Patients.
301,987,LOGOUT,Medical_records,2025-07-05,User 987 performed LOGOUT on Medical_records.
302,550,SELECT,Users,2025-07-17,User 550 performed SELECT on Users.
303,643,UPDATE,Patients,2025-06-02,User 643 performed UPDATE on Patients.
304,302,UPDATE,Medical_records,2022-12-15,User 302 performed UPDATE on Medical_records.
305,248,UPDATE,Consultations,2024-03-27,User 248 performed UPDATE on Consultations.
306,43,UPDATE,Users,2025-01-03,User 43 performed UPDATE on Users.
307,445,UPDATE,Medical_records,2023-04-12,User 445 performed UPDATE on Medical_records.
308,341,SELECT,Medical_records,2023-04-07,User 341 performed SELECT on Medical_records.
309,625,DELETE,Medical_records,2023-07-03,User 625 performed DELETE on Medical_records.
310,147,SELECT,Patients,2024-11-22,User 147 performed SELECT on Patients.
311,439,LOGIN,Consultations,2023-06-05,User 439 performed LOGIN on Consultations.
312,1113,LOGIN,Medical_staff,2025-01-14,User 1113 performed LOGIN on Medical_staff.
313,342,LOGOUT,Medical_records,2023-03-16,User 342 performed LOGOUT on Medical_records.
314,393,UPDATE,Medical_records,2024-10-25,User 393 performed UPDATE on Medical_records.
315,617,SELECT,Notifications,2022-09-02,User 617 performed SELECT on Notifications.
316,1196,LOGIN,AI_Diagnosis,2022-06-16,User 1196 performed LOGIN on AI_Diagnosis.
317,93,LOGIN,Consultations,2026-04-18,User 93 performed LOGIN on Consultations.
318,1043,SELECT,Appointments,2022-10-28,User 1043 performed SELECT on Appointments.
319,228,UPDATE,Appointments,2024-07-02,User 228 performed UPDATE on Appointments.
320,652,LOGOUT,Medical_records,2022-06-15,User 652 performed LOGOUT on Medical_records.
321,533,DELETE,Users,2023-09-11,User 533 performed DELETE on Users.
322,528,SELECT,Medical_records,2022-11-13,User 528 performed SELECT on Medical_records.
323,980,INSERT,Patients,2023-06-25,User 980 performed INSERT on Patients.
324,1057,LOGIN,AI_Diagnosis,2023-06-24,User 1057 performed LOGIN on AI_Diagnosis.
325,521,UPDATE,Medical_records,2025-09-08,User 521 performed UPDATE on Medical_records.
326,703,LOGIN,AI_Diagnosis,2023-02-15,User 703 performed LOGIN on AI_Diagnosis.
327,66,UPDATE,AI_Diagnosis,2023-06-03,User 66 performed UPDATE on AI_Diagnosis.
328,1055,DELETE,Patients,2024-12-10,User 1055 performed DELETE on Patients.
329,435,SELECT,Medical_staff,2023-04-01,User 435 performed SELECT on Medical_staff.
330,298,LOGOUT,Patients,2026-03-20,User 298 performed LOGOUT on Patients.
331,107,SELECT,Patients,2025-08-20,User 107 performed SELECT on Patients.
332,1128,UPDATE,Patients,2025-08-01,User 1128 performed UPDATE on Patients.
333,932,SELECT,Appointments,2024-06-09,User 932 performed SELECT on Appointments.
334,782,SELECT,Users,2024-11-05,User 782 performed SELECT on Users.
335,729,LOGIN,AI_Diagnosis,2024-09-23,User 729 performed LOGIN on AI_Diagnosis.
336,192,LOGOUT,Users,2024-08-16,User 192 performed LOGOUT on Users.
337,480,UPDATE,Appointments,2023-11-12,User 480 performed UPDATE on Appointments.
338,456,LOGIN,Appointments,2024-10-18,User 456 performed LOGIN on Appointments.
339,77,UPDATE,Appointments,2024-12-29,User 77 performed UPDATE on Appointments.
340,597,LOGOUT,Patients,2023-10-31,User 597 performed LOGOUT on Patients.
341,895,LOGIN,Medical_staff,2025-10-22,User 895 performed LOGIN on Medical_staff.
342,940,SELECT,Consultations,2025-06-07,User 940 performed SELECT on Consultations.
